end,endWord,n_answers,start,startWord
2290,TRUTH,50,1757,PIECE
2318,VIRUS,50,1757,PIECE
2290,TRUTH,50,1829,PRINCESS
2381,WRITER,50,1868,QUEEN
1288,JAIL,50,1708,PARTY
1267,INSTRUMENT,50,1757,PIECE
1530,MILK,50,1757,PIECE
1580,MUSIC,50,1757,PIECE
2331,WATER,50,1757,PIECE
1549,MONEY,50,1083,GOLD
2389,YOUNG,50,63,ALIVE
1858,PURPLE,50,327,BUG
2331,WATER,50,172,BAR
983,FOOD,50,2319,VODKA
2121,SPANISH,50,789,EAR
788,EAGLE,50,852,ETIQUETTE
803,EDUCATION,50,1355,LAMP
2331,WATER,50,2323,WALL
2318,VIRUS,50,2337,WEATHER
1871,QUIET,50,2384,YEAR
1288,JAIL,50,2319,VODKA
1002,FOUR,50,2304,UNIVERSITY
1158,HATE,50,2318,VIRUS
1238,IDEA,50,2323,WALL
1582,MYSTERY,50,2381,WRITER
1091,GORGEOUS,50,803,EDUCATION
2323,WALL,50,2178,STREET
2381,WRITER,50,1267,INSTRUMENT
1589,NATIVE,50,268,BOMB
352,BUY,50,695,DIAMOND
383,CAR,50,1083,GOLD
227,BIBLE,50,2230,TEMPLE
1447,LOVE,50,1091,GORGEOUS
1871,QUIET,50,803,EDUCATION
825,EMPIRE,50,1955,RUG
10,ACCIDENT,50,880,EXPLOSION
800,EAT,50,172,BAR
2304,UNIVERSITY,50,227,BIBLE
1208,HORROR,50,1402,LIE
1402,LIE,50,1368,LAWYER
1259,INK,50,1760,PILLOW
983,FOOD,50,172,BAR
803,EDUCATION,50,1871,QUIET
1313,JUICE,50,172,BAR
2178,STREET,50,227,BIBLE
1277,INTOXICATE,50,1784,PLUM
63,ALIVE,50,1158,HATE
2307,UNUSUAL,50,1238,IDEA
1158,HATE,50,63,ALIVE
2389,YOUNG,50,1043,GAME
700,DICTIONARY,50,803,EDUCATION
2381,WRITER,50,850,ETERNAL
1267,INSTRUMENT,50,880,EXPLOSION
1610,NIGHT,50,1093,GOSSIP
1093,GOSSIP,50,1158,HATE
2318,VIRUS,50,63,ALIVE
2337,WEATHER,50,2318,VIRUS
2337,WEATHER,50,2319,VODKA
2304,UNIVERSITY,50,2134,SPORT
1208,HORROR,50,2221,TEAM
2230,TEMPLE,50,2290,TRUTH
2381,WRITER,50,2307,UNUSUAL
2307,UNUSUAL,50,1093,GOSSIP
2323,WALL,50,1238,IDEA
63,ALIVE,50,1331,KINDNESS
1530,MILK,50,2318,VIRUS
1288,JAIL,50,2323,WALL
1755,PICTURE,50,2221,TEAM
2312,VACATION,50,1238,IDEA
383,CAR,50,1610,NIGHT
2319,VODKA,50,2331,WATER
1313,JUICE,50,2319,VODKA
2331,WATER,50,1930,RIOT
800,EAT,50,2319,VODKA
1368,LAWYER,50,1402,LIE
1200,HONESTY,50,609,CRIMINAL
2331,WATER,50,2318,VIRUS
1368,LAWYER,50,2290,TRUTH
227,BIBLE,50,2290,TRUTH
172,BAR,50,2331,WATER
2319,VODKA,50,2221,TEAM
1267,INSTRUMENT,50,2381,WRITER
466,CHURCH,50,2290,TRUTH
1139,HALLOWEEN,50,661,DEEP
175,BARN,50,591,COWARD
1708,PARTY,50,2331,WATER
1582,MYSTERY,50,803,EDUCATION
1368,LAWYER,50,969,FLOWER
695,DIAMOND,50,1091,GORGEOUS
2331,WATER,50,1093,GOSSIP
2178,STREET,50,1238,IDEA
2221,TEAM,50,1267,INSTRUMENT
2221,TEAM,50,2384,YEAR
1267,INSTRUMENT,50,1871,QUIET
2221,TEAM,50,2178,STREET
1530,MILK,50,2221,TEAM
700,DICTIONARY,50,2381,WRITER
1892,READY,50,2384,YEAR
63,ALIVE,50,2221,TEAM
2312,VACATION,50,2304,UNIVERSITY
1933,RIVER,50,2323,WALL
1402,LIE,50,2381,WRITER
2134,SPORT,50,1933,RIVER
1708,PARTY,50,1288,JAIL
1321,KETCHUP,50,2221,TEAM
2381,WRITER,50,2230,TEMPLE
2392,ZERO,50,2290,TRUTH
2384,YEAR,50,2312,VACATION
480,CLEAN,50,2323,WALL
835,ENGLISH,50,724,DISGUSTING
1026,FRUSTRATION,50,783,DUMP
1730,PEN,50,94,ANYTHING
2379,WRINKLE,50,1561,MOTEL
2331,WATER,50,741,DOLLAR
741,DOLLAR,50,227,BIBLE
1273,INTELLIGENT,50,803,EDUCATION
1345,KNOWLEDGE,50,1238,IDEA
470,CIRCLE,50,860,EVERYTHING
2323,WALL,50,1093,GOSSIP
638,DANCE,50,2011,SELL
2377,WORLD,50,2330,WATCH
1929,RING,50,2001,SECOND
1032,FUNERAL,50,2156,STEAL
1982,SAY,50,2029,SHARP
850,ETERNAL,50,63,ALIVE
1757,PIECE,50,1530,MILK
425,CHAIR,50,1211,HOSPITAL
203,BEDROOM,50,1088,GOODBYE
119,ASLEEP,50,930,FIELD
269,BOND,50,876,EXPERIMENT
2334,WEAK,50,896,FAITH
2178,STREET,50,2323,WALL
1933,RIVER,50,2304,UNIVERSITY
2319,VODKA,50,1530,MILK
279,BORED,50,42,AGAIN
2290,TRUTH,50,1368,LAWYER
1447,LOVE,50,1708,PARTY
2304,UNIVERSITY,50,1871,QUIET
1050,GAS,50,1350,LACE
1646,OCEAN,50,1245,ILLUSION
983,FOOD,50,1708,PARTY
54,AIRPLANE,50,1537,MISS
